applicant_position,sex_code,sex_group,group,nearest_other_group_position,nearest_other_sex_code,nearest_other_sex_group,nearest_other_group,feature_distance,original_probability,neighbour_probability,probability_difference,original_actual_default,neighbour_actual_default
4824,1,Male,Male (SEX=1),2669,2,Female,Female (SEX=2),4.507015159607758,0.27977467,0.21008524,0.06968943,1,0
4825,1,Male,Male (SEX=1),1983,2,Female,Female (SEX=2),1.1946203746211475,0.31771767,0.33985096,0.022133289999999972,0,0
4826,1,Male,Male (SEX=1),4555,2,Female,Female (SEX=2),2.085407812777691,0.023129975,0.029070582,0.0059406070000000005,0,0
4827,1,Male,Male (SEX=1),1461,2,Female,Female (SEX=2),4.704798463940799,0.5670368,0.41360644,0.15343036,1,0
4828,1,Male,Male (SEX=1),3037,2,Female,Female (SEX=2),1.04327751139535,0.15747902,0.10984243,0.04763658999999999,0,1
4829,1,Male,Male (SEX=1),2229,2,Female,Female (SEX=2),1.198394337032677,0.12282732,0.14794432,0.025116999999999987,0,1
4830,1,Male,Male (SEX=1),5609,2,Female,Female (SEX=2),1.1960350563311826,0.19111562,0.20365146,0.012535839999999993,0,0
4831,1,Male,Male (SEX=1),2390,2,Female,Female (SEX=2),1.316706847486177,0.041123822,0.06435813,0.023234308000000002,0,0
4832,1,Male,Male (SEX=1),5136,2,Female,Female (SEX=2),1.3950654675486078,0.09466123,0.12696901,0.032307779999999994,0,0
4833,1,Male,Male (SEX=1),4272,2,Female,Female (SEX=2),1.9291461558364698,0.73076355,0.7003856,0.030377949999999987,0,0
4834,1,Male,Male (SEX=1),1672,2,Female,Female (SEX=2),5.146618326874943,0.14002475,0.10528674,0.03473801,0,0
4835,1,Male,Male (SEX=1),1733,2,Female,Female (SEX=2),2.2291558804965868,0.26790896,0.38490492,0.11699596000000001,0,0
4836,1,Male,Male (SEX=1),3932,2,Female,Female (SEX=2),1.311266171185835,0.15103206,0.14879622,0.002235839999999989,1,0
4837,1,Male,Male (SEX=1),2173,2,Female,Female (SEX=2),1.439798657756321,0.24192631,0.27451077,0.03258446000000001,0,1
4838,1,Male,Male (SEX=1),3886,2,Female,Female (SEX=2),1.45670160703297,0.32064068,0.1511276,0.16951308,1,0
4839,1,Male,Male (SEX=1),3992,2,Female,Female (SEX=2),0.7664243111873535,0.060698856,0.05543401,0.005264846000000004,0,0
4840,1,Male,Male (SEX=1),2071,2,Female,Female (SEX=2),1.647752031308873,0.10146931,0.064122096,0.03734721399999999,0,0
4841,1,Male,Male (SEX=1),3999,2,Female,Female (SEX=2),2.9156158499117,0.035983663,0.043561686,0.007578023000000003,0,0
4842,1,Male,Male (SEX=1),470,2,Female,Female (SEX=2),1.7736801370485429,0.35794014,0.27199793,0.08594221000000002,0,0
4843,1,Male,Male (SEX=1),3479,2,Female,Female (SEX=2),1.4397267387373234,0.16158444,0.15234065,0.009243790000000002,1,1
4844,1,Male,Male (SEX=1),454,2,Female,Female (SEX=2),2.0728320069584063,0.33793274,0.6535892,0.31565645999999997,1,0
4845,1,Male,Male (SEX=1),5262,2,Female,Female (SEX=2),2.3688761614023797,0.7262869,0.7106311,0.015655799999999997,1,1
4846,1,Male,Male (SEX=1),5556,2,Female,Female (SEX=2),1.4136775435480042,0.26563194,0.3242298,0.05859786,0,1
4847,1,Male,Male (SEX=1),5072,2,Female,Female (SEX=2),0.8785856337139234,0.052278973,0.0559074,0.0036284270000000035,0,0
4848,1,Male,Male (SEX=1),3263,2,Female,Female (SEX=2),3.6585326042104613,0.21160224,0.34276122,0.13115897999999998,0,0
4849,1,Male,Male (SEX=1),4430,2,Female,Female (SEX=2),5.5111680650049175,0.045973726,0.16670738,0.120733654,0,0
4850,1,Male,Male (SEX=1),3507,2,Female,Female (SEX=2),5.345771978061827,0.74833006,0.094518706,0.653811354,1,0
4851,1,Male,Male (SEX=1),3920,2,Female,Female (SEX=2),0.6344979543227527,0.16925314,0.1656932,0.0035599399999999837,0,0
4852,1,Male,Male (SEX=1),2846,2,Female,Female (SEX=2),2.1046337259974868,0.10127566,0.058972917,0.042302743000000004,0,0
4853,1,Male,Male (SEX=1),2390,2,Female,Female (SEX=2),1.3026182462660616,0.062260896,0.06435813,0.0020972339999999964,0,0
4854,1,Male,Male (SEX=1),4321,2,Female,Female (SEX=2),1.681959591005751,0.31595063,0.38051423,0.0645636,0,0
4855,1,Male,Male (SEX=1),3063,2,Female,Female (SEX=2),0.8881779730235593,0.054054912,0.10165348,0.04759856800000001,0,0
4856,1,Male,Male (SEX=1),3502,2,Female,Female (SEX=2),1.868569197847532,0.26498866,0.32210442,0.057115760000000015,0,1
4857,1,Male,Male (SEX=1),4675,2,Female,Female (SEX=2),2.8794394546947815,0.065192886,0.10916971,0.043976824,0,0
4858,1,Male,Male (SEX=1),1684,2,Female,Female (SEX=2),0.7696238403569459,0.0969036,0.10468938,0.007785779999999992,0,1
4859,1,Male,Male (SEX=1),3060,2,Female,Female (SEX=2),1.870244741816087,0.12045855,0.19450262,0.07404406999999999,0,0
4860,1,Male,Male (SEX=1),4603,2,Female,Female (SEX=2),0.7391043632276374,0.049066797,0.062087342,0.013020544999999994,0,0
4861,1,Male,Male (SEX=1),4439,2,Female,Female (SEX=2),0.804921147643905,0.042030785,0.05747284,0.015442054999999996,0,0
4862,1,Male,Male (SEX=1),5773,2,Female,Female (SEX=2),1.8008449033097211,0.02934684,0.043226216,0.013879375999999999,0,0
4863,1,Male,Male (SEX=1),2091,2,Female,Female (SEX=2),1.3051030611486425,0.8080592,0.8008887,0.0071704999999999686,1,0
4864,1,Male,Male (SEX=1),3935,2,Female,Female (SEX=2),0.4034062118366597,0.43415684,0.43511012,0.0009532800000000008,0,1
4865,1,Male,Male (SEX=1),3170,2,Female,Female (SEX=2),1.0152370425576163,0.18047288,0.16285205,0.017620830000000004,0,0
4866,1,Male,Male (SEX=1),3465,2,Female,Female (SEX=2),0.7299527588623088,0.09752938,0.09529067,0.002238710000000005,0,0
4867,1,Male,Male (SEX=1),297,2,Female,Female (SEX=2),0.5416821224980078,0.22274199,0.24783412,0.02509212999999999,1,1
4868,1,Male,Male (SEX=1),3947,2,Female,Female (SEX=2),0.8541505600557263,0.09650088,0.13082422,0.034323339999999994,0,0
4869,1,Male,Male (SEX=1),3022,2,Female,Female (SEX=2),0.951719397556804,0.177058,0.14374427,0.033313729999999986,0,0
4870,1,Male,Male (SEX=1),2437,2,Female,Female (SEX=2),2.167320248785803,0.13545392,0.1555845,0.02013057999999998,0,1
4871,1,Male,Male (SEX=1),1728,2,Female,Female (SEX=2),0.32273621424657045,0.46856445,0.23211427,0.23645018,1,1
4872,1,Male,Male (SEX=1),2361,2,Female,Female (SEX=2),0.7188607178506893,0.056435708,0.053417902,0.003017805999999998,0,0
4873,1,Male,Male (SEX=1),3513,2,Female,Female (SEX=2),0.8127750804987893,0.044927366,0.05322563,0.008298264,0,0
4874,1,Male,Male (SEX=1),510,2,Female,Female (SEX=2),0.8316160442776557,0.05209512,0.051494103,0.0006010170000000023,0,0
4875,1,Male,Male (SEX=1),4577,2,Female,Female (SEX=2),0.2807738779459351,0.119443096,0.18835711,0.068914014,0,0
4876,1,Male,Male (SEX=1),4599,2,Female,Female (SEX=2),1.3595982074948294,0.14970452,0.146049,0.0036555199999999954,1,0
4877,1,Male,Male (SEX=1),3189,2,Female,Female (SEX=2),1.47922695519422,0.67794526,0.73341036,0.055465100000000045,0,0
4878,1,Male,Male (SEX=1),5511,2,Female,Female (SEX=2),1.9797945281313827,0.102489084,0.16605526,0.06356617600000002,0,0
4879,1,Male,Male (SEX=1),5140,2,Female,Female (SEX=2),0.7698334498346944,0.045987874,0.049810156,0.0038222820000000032,0,0
4880,1,Male,Male (SEX=1),4352,2,Female,Female (SEX=2),2.6558930459003043,0.07994963,0.05360604,0.026343589999999993,0,0
4881,1,Male,Male (SEX=1),3784,2,Female,Female (SEX=2),1.955133703199729,0.19471563,0.17263398,0.022081650000000008,1,0
4882,1,Male,Male (SEX=1),4530,2,Female,Female (SEX=2),1.5459061571348347,0.07079556,0.08527652,0.014480960000000001,0,0
4883,1,Male,Male (SEX=1),4720,2,Female,Female (SEX=2),3.2576891938039356,0.069511086,0.061086763,0.008424322999999997,0,0
4884,1,Male,Male (SEX=1),5596,2,Female,Female (SEX=2),0.7449623719440657,0.097888015,0.16983297,0.071944955,0,0
4885,1,Male,Male (SEX=1),164,2,Female,Female (SEX=2),0.37884666131601036,0.11664784,0.122562684,0.005914844000000002,0,0
4886,1,Male,Male (SEX=1),5151,2,Female,Female (SEX=2),0.1884528770933964,0.17362475,0.1720362,0.0015885499999999941,0,1
4887,1,Male,Male (SEX=1),1405,2,Female,Female (SEX=2),1.5936694578161636,0.105011486,0.108914174,0.0039026880000000014,0,0
4888,1,Male,Male (SEX=1),554,2,Female,Female (SEX=2),2.2305810397247052,0.14165501,0.20202316,0.06036815000000001,1,0
4889,1,Male,Male (SEX=1),2728,2,Female,Female (SEX=2),2.1778404158314535,0.36550635,0.3408463,0.02466004999999999,0,0
4890,1,Male,Male (SEX=1),3965,2,Female,Female (SEX=2),0.3183800540509864,0.08029801,0.12896085,0.048662839999999985,0,0
4891,1,Male,Male (SEX=1),4546,2,Female,Female (SEX=2),2.528350561612039,0.08717577,0.1342275,0.04705173,0,0
4894,1,Male,Male (SEX=1),3772,2,Female,Female (SEX=2),1.1290126890996586,0.069467686,0.06688657,0.0025811159999999944,1,0
4895,1,Male,Male (SEX=1),697,2,Female,Female (SEX=2),2.8105636639841665,0.320435,0.23891349,0.08152151000000002,0,1
4896,1,Male,Male (SEX=1),4482,2,Female,Female (SEX=2),0.8675613015240231,0.14809889,0.17341685,0.02531796,0,0
4897,1,Male,Male (SEX=1),1151,2,Female,Female (SEX=2),3.049057681042057,0.02499354,0.02637126,0.001377719999999999,0,1
4898,1,Male,Male (SEX=1),535,2,Female,Female (SEX=2),1.2854249921951353,0.048724998,0.049889226,0.0011642280000000033,0,0
4899,1,Male,Male (SEX=1),3067,2,Female,Female (SEX=2),0.7692971531499356,0.05484246,0.051277205,0.0035652550000000033,0,0
4900,1,Male,Male (SEX=1),4556,2,Female,Female (SEX=2),4.040665674909689,0.055816144,0.038717505,0.017098639,0,0
4901,1,Male,Male (SEX=1),553,2,Female,Female (SEX=2),1.3928990570682773,0.15003711,0.1739907,0.023953589999999997,0,0
4902,1,Male,Male (SEX=1),589,2,Female,Female (SEX=2),1.832794484667516,0.5515432,0.77517134,0.22362813999999998,1,1
4903,1,Male,Male (SEX=1),4504,2,Female,Female (SEX=2),3.8121702227927527,0.23180978,0.12866586,0.10314392,0,1
4904,1,Male,Male (SEX=1),4326,2,Female,Female (SEX=2),2.061862705020245,0.15512551,0.11200587,0.04311964,0,0
4905,1,Male,Male (SEX=1),1294,2,Female,Female (SEX=2),1.6570808410755458,0.041947078,0.040820878,0.0011262000000000008,0,0
4906,1,Male,Male (SEX=1),2253,2,Female,Female (SEX=2),2.2777343736666382,0.25142467,0.22529018,0.02613449000000001,0,0
4907,1,Male,Male (SEX=1),2405,2,Female,Female (SEX=2),1.3012867422703744,0.29593498,0.33074984,0.03481486,0,0
4908,1,Male,Male (SEX=1),4664,2,Female,Female (SEX=2),0.8707141307430415,0.26840237,0.12202623,0.14637614,1,0
4909,1,Male,Male (SEX=1),2735,2,Female,Female (SEX=2),1.618845869532653,0.08132752,0.060617708,0.020709812,0,0
4910,1,Male,Male (SEX=1),3248,2,Female,Female (SEX=2),2.32102540889177,0.2563746,0.34708562,0.09071101999999998,0,1
4911,1,Male,Male (SEX=1),2342,2,Female,Female (SEX=2),0.6455295211131152,0.057732277,0.10004004,0.042307763,0,0
4912,1,Male,Male (SEX=1),1157,2,Female,Female (SEX=2),4.944343358974369,0.115914755,0.15065895,0.03474419500000002,0,0
4913,1,Male,Male (SEX=1),697,2,Female,Female (SEX=2),1.7680480407553851,0.3561614,0.23891349,0.11724791000000001,0,1
4914,1,Male,Male (SEX=1),2280,2,Female,Female (SEX=2),0.268360519704554,0.1696495,0.20246573,0.03281623,0,0
4915,1,Male,Male (SEX=1),2421,2,Female,Female (SEX=2),1.769525617070615,0.04633599,0.035790946,0.010545044000000003,0,0
4916,1,Male,Male (SEX=1),347,2,Female,Female (SEX=2),3.164505559118604,0.030475376,0.045601245,0.015125869,0,0
4917,1,Male,Male (SEX=1),4355,2,Female,Female (SEX=2),3.782085560657095,0.15748315,0.21260333,0.05512018000000002,0,0
4918,1,Male,Male (SEX=1),3846,2,Female,Female (SEX=2),1.4667327981062417,0.03879492,0.066651,0.027856080000000005,0,0
4919,1,Male,Male (SEX=1),3464,2,Female,Female (SEX=2),3.1360015105266994,0.24863893,0.23005748,0.01858145,0,0
4920,1,Male,Male (SEX=1),986,2,Female,Female (SEX=2),0.4152306682002173,0.15748356,0.38242996,0.22494640000000002,0,0
4921,1,Male,Male (SEX=1),2563,2,Female,Female (SEX=2),1.1910227978000187,0.105775125,0.070257224,0.035517901000000004,0,0
4922,1,Male,Male (SEX=1),4588,2,Female,Female (SEX=2),1.46947044508839,0.0987004,0.09821592,0.00048447999999999547,0,0
4923,1,Male,Male (SEX=1),1590,2,Female,Female (SEX=2),1.1427812618716944,0.19147804,0.1956605,0.004182459999999999,0,0
4924,1,Male,Male (SEX=1),3063,2,Female,Female (SEX=2),0.49910037187104184,0.09417748,0.10165348,0.00747600000000001,0,0
4925,1,Male,Male (SEX=1),5260,2,Female,Female (SEX=2),0.29997321310296177,0.1888203,0.21977307,0.03095276999999999,0,0
4926,1,Male,Male (SEX=1),2478,2,Female,Female (SEX=2),1.4570688972775074,0.14835197,0.1045016,0.04385037,1,0
4927,1,Male,Male (SEX=1),4317,2,Female,Female (SEX=2),0.4881660454486852,0.070724525,0.055178598,0.015545926999999994,0,1
4928,1,Male,Male (SEX=1),4523,2,Female,Female (SEX=2),1.8668471160669546,0.066405065,0.07115268,0.004747614999999997,0,0
4929,1,Male,Male (SEX=1),2173,2,Female,Female (SEX=2),1.9016959159882445,0.7022987,0.27451077,0.42778793000000004,1,1
4930,1,Male,Male (SEX=1),3851,2,Female,Female (SEX=2),0.5426289324602561,0.10351117,0.14834274,0.04483157,0,0
4931,1,Male,Male (SEX=1),2266,2,Female,Female (SEX=2),1.3641445067255278,0.072988965,0.049987987,0.023000978000000005,0,0
4932,1,Male,Male (SEX=1),3427,2,Female,Female (SEX=2),1.1390456245159608,0.15376519,0.13134162,0.022423570000000004,0,0
4933,1,Male,Male (SEX=1),569,2,Female,Female (SEX=2),0.8927887010420283,0.05261012,0.05244578,0.00016434000000000587,0,0
4934,1,Male,Male (SEX=1),4655,2,Female,Female (SEX=2),2.6686070553338213,0.09544736,0.14134203,0.04589467000000001,0,0
4935,1,Male,Male (SEX=1),5673,2,Female,Female (SEX=2),2.2053339430409054,0.28115338,0.30873522,0.02758183999999997,0,0
4936,1,Male,Male (SEX=1),4464,2,Female,Female (SEX=2),1.7445119866046879,0.30810913,0.2868375,0.021271629999999986,0,0
4937,1,Male,Male (SEX=1),3968,2,Female,Female (SEX=2),1.1495505504060912,0.11847219,0.12338502,0.004912829999999993,0,0
4938,1,Male,Male (SEX=1),3197,2,Female,Female (SEX=2),1.804260622254669,0.058778573,0.20005235,0.141273777,0,1
4939,1,Male,Male (SEX=1),3686,2,Female,Female (SEX=2),1.9328056351563758,0.21601771,0.24919215,0.03317444,0,0
4940,1,Male,Male (SEX=1),2962,2,Female,Female (SEX=2),2.3076839348061764,0.6410918,0.6730701,0.031978300000000015,1,0
4941,1,Male,Male (SEX=1),5145,2,Female,Female (SEX=2),1.7639960063159723,0.076239735,0.057874795,0.018364940000000003,0,0
4942,1,Male,Male (SEX=1),1155,2,Female,Female (SEX=2),2.0619318928577255,0.04249436,0.04011419,0.002380170000000001,0,0
4943,1,Male,Male (SEX=1),3525,2,Female,Female (SEX=2),1.1346106954546666,0.056087255,0.061502885,0.005415629999999998,0,0
4944,1,Male,Male (SEX=1),5619,2,Female,Female (SEX=2),1.2085694363305037,0.18704107,0.14852794,0.038513130000000007,0,0
4945,1,Male,Male (SEX=1),4689,2,Female,Female (SEX=2),0.3110445012682712,0.35139805,0.33736587,0.014032180000000005,0,1
4946,1,Male,Male (SEX=1),1685,2,Female,Female (SEX=2),0.7246581020875386,0.14883667,0.112397805,0.036438865,0,0
4947,1,Male,Male (SEX=1),5698,2,Female,Female (SEX=2),2.029204055491717,0.05505971,0.08937627,0.034316559999999996,0,0
4948,1,Male,Male (SEX=1),1432,2,Female,Female (SEX=2),2.615912948664214,0.17309718,0.08457473,0.08852244999999999,1,1
4949,1,Male,Male (SEX=1),3376,2,Female,Female (SEX=2),0.6871148733405552,0.10043851,0.09634297,0.004095539999999995,0,0
4950,1,Male,Male (SEX=1),5819,2,Female,Female (SEX=2),0.8848995937739678,0.10959854,0.15740052,0.047801979999999994,0,0
4951,1,Male,Male (SEX=1),1660,2,Female,Female (SEX=2),0.9785143196498249,0.12528057,0.16057354,0.03529296999999998,0,0
4952,1,Male,Male (SEX=1),4590,2,Female,Female (SEX=2),1.058671183840678,0.12620878,0.13156661,0.005357830000000008,0,0
4953,1,Male,Male (SEX=1),4597,2,Female,Female (SEX=2),1.1594220352742408,0.43334082,0.38889784,0.04444298000000002,1,1
4954,1,Male,Male (SEX=1),5753,2,Female,Female (SEX=2),1.7553718678202326,0.063958,0.04631701,0.017640990000000002,0,0
4955,1,Male,Male (SEX=1),5115,2,Female,Female (SEX=2),2.293945754625176,0.10697497,0.071843654,0.035131315999999996,0,0
4956,1,Male,Male (SEX=1),2131,2,Female,Female (SEX=2),0.3226694560080724,0.35317162,0.35228592,0.0008857000000000448,0,1
4957,1,Male,Male (SEX=1),5545,2,Female,Female (SEX=2),2.7886251120996732,0.5159012,0.4538511,0.06205009999999994,1,1
4958,1,Male,Male (SEX=1),3430,2,Female,Female (SEX=2),3.2291604910151057,0.08443868,0.08687279,0.002434110000000003,0,1
4959,1,Male,Male (SEX=1),5756,2,Female,Female (SEX=2),1.3624791525369486,0.16432375,0.18866707,0.02434332,0,1
4960,1,Male,Male (SEX=1),1441,2,Female,Female (SEX=2),1.9935263657078057,0.2268637,0.10053263,0.12633107,0,0
4961,1,Male,Male (SEX=1),2213,2,Female,Female (SEX=2),2.014397482149778,0.39825985,0.33536923,0.06289062000000001,1,0
4962,1,Male,Male (SEX=1),2320,2,Female,Female (SEX=2),2.172613537984252,0.083820745,0.11292737,0.029106624999999997,0,0
4963,1,Male,Male (SEX=1),5618,2,Female,Female (SEX=2),2.7260197953414185,0.070430145,0.15527615,0.084846005,0,1
4964,1,Male,Male (SEX=1),4715,2,Female,Female (SEX=2),1.0229717144464572,0.05929077,0.07473449,0.015443720000000001,0,0
4965,1,Male,Male (SEX=1),5091,2,Female,Female (SEX=2),1.6990684030190673,0.3490832,0.34640864,0.0026745599999999925,0,0
4966,1,Male,Male (SEX=1),1474,2,Female,Female (SEX=2),4.579372895698884,0.189665,0.32000902,0.13034401999999998,1,0
4967,1,Male,Male (SEX=1),308,2,Female,Female (SEX=2),2.5668961302595066,0.6228709,0.6748514,0.051980499999999985,0,0
4968,1,Male,Male (SEX=1),3843,2,Female,Female (SEX=2),1.152440017248656,0.07189046,0.067370415,0.004520045,0,0
4969,1,Male,Male (SEX=1),1667,2,Female,Female (SEX=2),2.224255422462918,0.18361066,0.13626905,0.047341610000000006,0,0
4970,1,Male,Male (SEX=1),4593,2,Female,Female (SEX=2),3.0413957895094645,0.3979376,0.34572643,0.05221117000000003,0,1
4971,1,Male,Male (SEX=1),4026,2,Female,Female (SEX=2),2.5806936700015615,0.12710352,0.11447444,0.01262908,0,0
4972,1,Male,Male (SEX=1),948,2,Female,Female (SEX=2),2.1228507582054745,0.045276906,0.038789522,0.006487383999999999,0,0
4973,1,Male,Male (SEX=1),4021,2,Female,Female (SEX=2),1.8627838449020153,0.09215065,0.06087398,0.03127667,0,0
4974,1,Male,Male (SEX=1),1100,2,Female,Female (SEX=2),1.4069040064735512,0.17149258,0.25210452,0.08061193999999999,0,1
4975,1,Male,Male (SEX=1),4703,2,Female,Female (SEX=2),0.5064290955786104,0.17352657,0.16433422,0.009192349999999988,1,0
4976,1,Male,Male (SEX=1),4674,2,Female,Female (SEX=2),4.119732165817017,0.0795568,0.04689128,0.032665519999999997,0,0
4977,1,Male,Male (SEX=1),4708,2,Female,Female (SEX=2),1.4812049067370188,0.7007933,0.7172795,0.016486200000000006,1,0
4978,1,Male,Male (SEX=1),798,2,Female,Female (SEX=2),0.49013567635732114,0.14630821,0.13928771,0.007020499999999985,0,0
4979,1,Male,Male (SEX=1),2828,2,Female,Female (SEX=2),0.6868889471597697,0.31954667,0.26997364,0.04957302999999996,0,1
4980,1,Male,Male (SEX=1),4569,2,Female,Female (SEX=2),1.9291094822029922,0.14290284,0.09127275,0.051630090000000003,0,1
4981,1,Male,Male (SEX=1),2956,2,Female,Female (SEX=2),1.0364836193726894,0.055969454,0.05180942,0.004160034,0,0
4982,1,Male,Male (SEX=1),1933,2,Female,Female (SEX=2),1.6903771820681568,0.43157536,0.3246107,0.10696466000000004,0,0
4983,1,Male,Male (SEX=1),2052,2,Female,Female (SEX=2),2.087044223258969,0.090790674,0.07230099,0.018489684000000006,0,0
4984,1,Male,Male (SEX=1),792,2,Female,Female (SEX=2),1.6764235465543544,0.045150854,0.061175987,0.016025133000000004,0,0
4985,1,Male,Male (SEX=1),5237,2,Female,Female (SEX=2),0.9417373058978684,0.11730577,0.12307542,0.005769650000000001,0,0
4986,1,Male,Male (SEX=1),5803,2,Female,Female (SEX=2),1.0201878865278777,0.18018064,0.48577514,0.3055945,0,1
4987,1,Male,Male (SEX=1),4727,2,Female,Female (SEX=2),2.703056733984882,0.10899385,0.09511121,0.013882640000000002,0,0
4988,1,Male,Male (SEX=1),5797,2,Female,Female (SEX=2),5.378484521825527,0.6586629,0.13733494,0.52132796,1,1
5272,1,Male,Male (SEX=1),2958,2,Female,Female (SEX=2),3.9034708821782518,0.1024261,0.072752535,0.029673565000000013,0,0
5273,1,Male,Male (SEX=1),123,2,Female,Female (SEX=2),1.1749376864054324,0.33173707,0.3466194,0.01488233,1,0
5275,1,Male,Male (SEX=1),1473,2,Female,Female (SEX=2),1.744180358025622,0.43698633,0.32872027,0.10826606,1,1
5276,1,Male,Male (SEX=1),5733,2,Female,Female (SEX=2),2.226247746747411,0.85993856,0.8722737,0.012335140000000022,1,0
5277,1,Male,Male (SEX=1),4366,2,Female,Female (SEX=2),2.695933584107216,0.16425781,0.17380853,0.009550719999999985,0,0
5278,1,Male,Male (SEX=1),2004,2,Female,Female (SEX=2),4.661971263989992,0.72724426,0.7502133,0.022969039999999996,0,0
5279,1,Male,Male (SEX=1),2326,2,Female,Female (SEX=2),3.4739688915913898,0.23048286,0.16219507,0.06828779000000001,1,0
5280,1,Male,Male (SEX=1),1759,2,Female,Female (SEX=2),1.4155181034839006,0.18185236,0.07221653,0.10963582999999999,0,0
5281,1,Male,Male (SEX=1),4290,2,Female,Female (SEX=2),0.3948158148391935,0.09339491,0.09716462,0.0037697099999999956,0,0
5282,1,Male,Male (SEX=1),5482,2,Female,Female (SEX=2),1.8225546748790311,0.68615425,0.68189704,0.004257210000000011,0,0
5283,1,Male,Male (SEX=1),1564,2,Female,Female (SEX=2),2.1220994995514806,0.13402775,0.19309275,0.059065000000000006,0,0
5284,1,Male,Male (SEX=1),123,2,Female,Female (SEX=2),2.4726630248596955,0.35217544,0.3466194,0.005556039999999984,0,0
5285,1,Male,Male (SEX=1),3683,2,Female,Female (SEX=2),2.0075394227872083,0.0781601,0.105912834,0.027752734,0,0
5286,1,Male,Male (SEX=1),3498,2,Female,Female (SEX=2),1.3563338197858674,0.64888126,0.6611736,0.012292340000000013,1,1
5287,1,Male,Male (SEX=1),3199,2,Female,Female (SEX=2),3.6815987064493667,0.40806514,0.46049392,0.05242878000000001,1,0
5288,1,Male,Male (SEX=1),5071,2,Female,Female (SEX=2),0.6190161369897019,0.043770123,0.05900638,0.015236256999999996,0,0
5289,1,Male,Male (SEX=1),241,2,Female,Female (SEX=2),1.1217583668196238,0.104927994,0.14532728,0.040399286000000006,0,0
5290,1,Male,Male (SEX=1),4392,2,Female,Female (SEX=2),2.0175500034152423,0.12928215,0.17413196,0.04484980999999999,0,1
5291,1,Male,Male (SEX=1),2620,2,Female,Female (SEX=2),3.0486298451546796,0.050409574,0.07441996,0.024010385999999995,0,1
5292,1,Male,Male (SEX=1),32,2,Female,Female (SEX=2),1.1795439037278483,0.15424398,0.18908533,0.03484134999999999,0,0
5293,1,Male,Male (SEX=1),3403,2,Female,Female (SEX=2),1.189224360134428,0.055781852,0.041221857,0.014559995,0,0
5294,1,Male,Male (SEX=1),3051,2,Female,Female (SEX=2),1.5040646997551104,0.07367162,0.18773456,0.11406294,0,0
5295,1,Male,Male (SEX=1),4307,2,Female,Female (SEX=2),0.8922208614489457,0.110623784,0.13053098,0.019907195999999988,0,0
5296,1,Male,Male (SEX=1),1179,2,Female,Female (SEX=2),1.6302298241467068,0.41782737,0.52327025,0.10544288000000007,1,1
5297,1,Male,Male (SEX=1),3240,2,Female,Female (SEX=2),8.55787893774621,0.20271665,0.18562919,0.01708746,0,1
5298,1,Male,Male (SEX=1),5470,2,Female,Female (SEX=2),0.31669618675317596,0.18988095,0.1120211,0.07785985,0,0
5299,1,Male,Male (SEX=1),454,2,Female,Female (SEX=2),1.9056082427412868,0.33292982,0.6535892,0.32065938,0,0
5300,1,Male,Male (SEX=1),5530,2,Female,Female (SEX=2),1.9590563355665886,0.24901141,0.34448686,0.09547545000000002,0,0
5301,1,Male,Male (SEX=1),4431,2,Female,Female (SEX=2),2.495836778307384,0.75600547,0.75843936,0.0024338900000000496,1,0
5302,1,Male,Male (SEX=1),3395,2,Female,Female (SEX=2),0.48637664394747104,0.15245357,0.143803,0.008650570000000024,0,1
5303,1,Male,Male (SEX=1),4267,2,Female,Female (SEX=2),3.263078192557538,0.1780211,0.14218326,0.03583783999999998,0,0
5304,1,Male,Male (SEX=1),2440,2,Female,Female (SEX=2),0.847138258099404,0.06236941,0.08843023,0.02606082,0,1
5305,1,Male,Male (SEX=1),1384,2,Female,Female (SEX=2),1.9683985232078625,0.50836533,0.49326694,0.015098389999999962,0,1
5306,1,Male,Male (SEX=1),3012,2,Female,Female (SEX=2),2.7458638309097188,0.46959445,0.61789834,0.14830389,0,0
5307,1,Male,Male (SEX=1),5791,2,Female,Female (SEX=2),3.313686752385883,0.52856827,0.3781409,0.15042736999999995,1,0
5308,1,Male,Male (SEX=1),2631,2,Female,Female (SEX=2),0.7298138684112407,0.096221656,0.08984923,0.0063724260000000005,0,0
5309,1,Male,Male (SEX=1),2825,2,Female,Female (SEX=2),1.8797837680567282,0.26748604,0.27592593,0.008439890000000005,0,0
5310,1,Male,Male (SEX=1),553,2,Female,Female (SEX=2),1.1488127840186573,0.1296341,0.1739907,0.044356599999999996,0,0
5311,1,Male,Male (SEX=1),1386,2,Female,Female (SEX=2),0.26544396400190057,0.26132116,0.25714418,0.004176979999999997,1,0
5312,1,Male,Male (SEX=1),112,2,Female,Female (SEX=2),2.937897332095522,0.046914864,0.07402892,0.027114055999999997,0,0
5313,1,Male,Male (SEX=1),1312,2,Female,Female (SEX=2),2.574719611226885,0.18995547,0.07480934,0.11514612999999999,0,0
5314,1,Male,Male (SEX=1),5230,2,Female,Female (SEX=2),0.9072972624171695,0.251778,0.11458277,0.13719523,0,0
5315,1,Male,Male (SEX=1),4592,2,Female,Female (SEX=2),4.56978777198643,0.03538298,0.029146083,0.006236897000000002,0,0
5316,1,Male,Male (SEX=1),4650,2,Female,Female (SEX=2),1.6009384025199955,0.31565973,0.4566884,0.14102866999999997,0,0
